slide23102	4
slide1343	2
slide1463	2
slide2353	2
slide2353	4
slide2395	4
slide2154	2
slide2165	2
slide2235	4
slide22132	2
slide22134	2
slide23133	4
slide23131	4
slide23132	4
slide2343	2
slide2391	2
slide2395	2
slide2533	2
slide2683	4
slide2833	4
slide4599	2
slide4626	2
slide5533	3
slide5831	2
slide5833	2
slide5913	2
slide6212	4
slide6312	4
slide6821	4
slide7332	3
slide7339	3
slide7313	3
slide7341	3
slide7393	3
slide7153	3
slide7193	3
slide7532	2
slide8461	2
slide8496	2
slide9353	4
slide9223	4
slide9933	4
slide9923	4
slide24332	4
slide24339	2
slide8635	2
slide8356	4
slide24333	2
slide8534	2
slide8774	4
slide24334	4
slide8452	4
slide8366	4
slide8234	3
slide24335	2
slide8563	4
slide24331	4
slide24336	4
slide24337	4
slide24338	4
